=====================  =======================  ============================  ====================
Baro_Pressure [KPa]    Temperature [Celsius]    Acceleration [m/s^2]          Magnetic_Field [T]
=====================  =======================  ============================  ====================
76.5020                15.0400                  [0. 0. 0.]                    [0. 0. 0.]
100.7691               14.6883                  [ -0.8705   1.7465 189.6315]  [0. 0. 0.]
100.7520               14.6789                  [  0.1065  -0.0911 189.6246]  [0. 0. 0.]
100.7348               14.6694                  [  0.5611   1.9496 189.596 ]  [0. 0. 0.]
100.7173               14.6598                  [ -1.0769   0.631  189.5857]  [0. 0. 0.]
100.6996               14.6500                  [  1.0376   0.6996 189.5676]  [0. 0. 0.]
100.6817               14.6402                  [ -0.7387   1.8623 189.5431]  [0. 0. 0.]
100.6636               14.6302                  [  0.1137  -0.0965 189.5357]  [0. 0. 0.]
100.6452               14.6201                  [  0.4138   2.0259 189.5054]  [0. 0. 0.]
100.6266               14.6098                  [ -0.9015   0.3214 189.4962]  [0. 0. 0.]
100.6078               14.5995                  [  1.0686   1.2136 189.4723]  [0. 0. 0.]
100.5888               14.5890                  [ -1.0984   1.2771 189.4527]  [0. 0. 0.]
100.5695               14.5784                  [  0.8598   0.3222 189.4386]  [0. 0. 0.]
100.5500               14.5677                  [ -0.5857   1.9568 189.4099]  [0. 0. 0.]
100.5303               14.5568                  [  0.1939  -0.091  189.4014]  [0. 0. 0.]
100.5104               14.5458                  [  0.1223   2.1029 189.3692]  [0. 0. 0.]
100.4902               14.5347                  [ -0.4526  -0.0217 189.3606]  [0. 0. 0.]
100.4699               14.5235                  [  0.6679   1.8785 189.3295]  [0. 0. 0.]
100.4493               14.5122                  [ -0.8648   0.288  189.3176]  [0. 0. 0.]
100.4284               14.5007                  [  0.9648   1.5355 189.2896]  [0. 0. 0.]
100.4074               14.4891                  [ -1.0515   0.6188 189.2735]  [0. 0. 0.]
100.3861               14.4774                  [  1.0795   1.2422 189.2486]  [0. 0. 0.]
100.3647               14.4656                  [ -1.1056   0.8552 189.229 ]  [0. 0. 0.]
100.3430               14.4536                  [  1.1079   1.0693 189.2059]  [0. 0. 0.]
100.3210               14.4415                  [ -1.1106   0.9592 189.1844]  [0. 0. 0.]
100.2989               14.4293                  [  1.113    1.0343 189.1616]  [0. 0. 0.]
100.2765               14.4170                  [ -1.1055   0.9241 189.1396]  [0. 0. 0.]
100.2539               14.4046                  [  1.108    1.1388 189.1156]  [0. 0. 0.]
100.2311               14.3920                  [ -1.0771   0.7514 189.0947]  [0. 0. 0.]
100.2081               14.3793                  [  1.0538   1.3762 189.068 ]  [0. 0. 0.]
100.1848               14.3665                  [ -0.9622   0.4589 189.0496]  [0. 0. 0.]
100.1614               14.3536                  [  0.8668   1.7082 189.0189]  [0. 0. 0.]
100.1377               14.3405                  [ -0.665    0.1173 189.0038]  [0. 0. 0.]
100.1137               14.3273                  [  0.4541   2.0193 188.9691]  [0. 0. 0.]
100.0896               14.3140                  [ -0.119   -0.105  188.9565]  [0. 0. 0.]
100.0653               14.3006                  [ -0.1928   2.09   188.9197]  [0. 0. 0.]
100.0407               14.2870                  [  0.5891   0.044  188.9062]  [0. 0. 0.]
100.0159               14.2734                  [ -0.8586   1.6783 188.8721]  [0. 0. 0.]
99.9909                14.2596                  [  1.1011   0.7272 188.8521]  [0. 0. 0.]
99.9657                14.2456                  [ -1.0664   0.7891 188.8263]  [0. 0. 0.]
99.9402                14.2316                  [  0.9027   1.6858 188.7956]  [0. 0. 0.]
99.9145                14.2174                  [ -0.4102  -0.0194 188.7792]  [0. 0. 0.]
99.8887                14.2031                  [ -0.1137   2.1055 188.7412]  [0. 0. 0.]
99.8626                14.1887                  [  0.7424   0.1497 188.7257]  [0. 0. 0.]
99.8362                14.1742                  [ -1.0365   1.3111 188.6927]  [0. 0. 0.]
99.8097                14.1595                  [  1.0782   1.3859 188.6654]  [0. 0. 0.]
99.7829                14.1448                  [ -0.5574   0.0657 188.6458]  [0. 0. 0.]
99.7560                14.1299                  [ -0.1072   2.1099 188.6072]  [0. 0. 0.]
99.7288                14.1148                  [  0.8741   0.2764 188.5899]  [0. 0. 0.]
99.7014                14.0997                  [ -1.0724   0.9704 188.5584]  [0. 0. 0.]
99.6737                14.0844                  [  0.7977   1.824  188.5257]  [0. 0. 0.]
99.6459                14.0690                  [  0.1151  -0.0976 188.5083]  [0. 0. 0.]
99.6178                14.0535                  [ -0.8392   1.6908 188.4701]  [0. 0. 0.]
99.5895                14.0379                  [  1.1271   1.261  188.4439]  [0. 0. 0.]
99.5610                14.0221                  [ -0.4252   0.0074 188.4221]  [0. 0. 0.]
